股票代码,股票名称,综合诊断评分,打败百分比(%),投资评级,短期趋势,中期趋势,长期趋势,技术面评分,资金面评分,消息面评分,行业面评分,基本面评分
600011,华能国际,5.4,67,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,下跌有所减缓，仍应保持谨慎。,已有57家主力机构披露2026-06-30报告期持股数据，持仓量总计83.25亿股，占流通A股75.70%,5.0,5.0,5.7,5.2,6.2
600029,南方航空,5.4,67,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,有加速下跌的趋势。,已有42家主力机构披露2026-06-30报告期持股数据，持仓量总计2.22亿股，占流通A股1.65%,4.2,6.1,4.1,6.1,6.6
600115,中国东航,5.4,67,中性,该股进入多头行情中，股价短线上涨概率较大。,有加速下跌的趋势。,已有66家主力机构披露2026-06-30报告期持股数据，持仓量总计4.31亿股，占流通A股2.53%,4.6,5.6,4.1,6.1,6.5
600276,恒瑞医药,5.4,67,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,上涨趋势有所减缓，可适量高抛低吸。,已有426家主力机构披露2026-06-30报告期持股数据，持仓量总计38.00亿股，占流通A股59.58%,4.6,4.7,6.1,6.0,6.1
600426,华鲁恒升,5.4,67,中性,短期行情可能回暖，可适量买进股票，作短线反弹行情。,正处于反弹阶段。,已有112家主力机构披露2026-06-30报告期持股数据，持仓量总计10.24亿股，占流通A股48.42%,5.2,4.3,6.1,3.5,6.9
600482,中国动力,5.4,67,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有129家主力机构披露2026-06-30报告期持股数据，持仓量总计1.35亿股，占流通A股5.93%,5.4,4.4,6.1,3.5,6.4
600547,山东黄金,5.4,67,中性,强势上涨过程中，可逢低买进，暂不考虑做空。,正处于反弹阶段。,已有64家主力机构披露2026-06-30报告期持股数据，持仓量总计9905.42万股，占流通A股2.74%,6.7,3.9,5.7,3.5,5.7
601985,中国核电（601985）,5.4,68,中性,该股进入多头行情中，股价短线上涨概率较大。,有加速下跌的趋势。,已有92家主力机构披露2026-06-30报告期持股数据，持仓量总计3.32亿股，占流通A股1.76%,5.4,6.1,5.5,1.8,6.2
603019,中科曙光（603019）,5.4,68,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,有加速上涨趋势。,已有148家主力机构披露2026-06-30报告期持股数据，持仓量总计3.32亿股，占流通A股22.71%,6.8,2.3,5.5,2.1,7.4
000002,万科A,5.3,59,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有11家主力机构披露2026-06-30报告期持股数据，持仓量总计2.28亿股，占流通A股2.34%,5.5,4.3,4.9,6.5,5.5
000858,五粮液,5.3,60,中性,弱势下跌过程中，可逢高卖出，暂不考虑买进。,正处于反弹阶段。,已有73家主力机构披露2026-06-30报告期持股数据，持仓量总计1.61亿股，占流通A股4.14%,6.0,2.7,6.1,3.5,6.6
